76	Pokemon Sword and Shield	Pokemon	SwSh	Pokemon Sword	Pokemon White 2	white 2	black2						
77	Pokemon Ultra Sun and Ultra Moon	Pokemon	USUM	Pokemon Ultra Sun	Pokemon Shield	sword	shield						
78	Pokemon Sun and Moon	Pokemon	SM	Pokemon Sun	Pokemon Ultra Moon	ultra sun	ultra moon						
79	Pokemon Omega Ruby and Alpha Sapphire	Pokemon	ORAS	Pokemon Omega Ruby	Pokemon Moon	Pokemon Ultra Sun	Pokemon Ultra Moon	moon	sun	ultra sun	ultra moon		
31	Portal 2	Portal											
80	Portal	Portal	Portal		Pokemon Alpha Sapphire	omega ruby	alpha sapphire						
32	Curious Village	Professor Layton	professor layton	professor layton and the curious village	professor layton curious village								
33	Pandora's / Diabolical Box	Professor Layton	professor layton pb	professor layton db	professor layton pandoras box	professor layton pandora's box	professor layton diabolical box	professor layton and the diabolical box	diabolical box	pandoras box	pandora's box		
34	Lost / Unwound Future	Professor Layton	professor layton lf	professor layton uf	unwound future	lost future							
35	Rhythm Heaven (DS)	Rhythm Heaven	Rhythm Heaven ds	Rhythm Heaven	Rhythm paradise	Rhythm paradise ds							
36	Rhythm Heaven Fever	Rhythm Heaven	Rhythm Heaven fever	Beat The Beat rhythm paradise	Beat The Beat: rhythm paradise	Rhythm Heaven wii	Rhythm paradise wii						
130	Ribbit King	Ribbit King		ff x									
138	Sonic R	Sonic The Hedgehog											
81	Super Hexagon	Super Hexagon	Super Hexagon										
37	Super Meat Boy	Super Meat Boy	super meat boy	meat boy									
82	Terraria Calamity Mod	Terraria	Terraria Calamity	Calamity									
83	Terraria	Terraria			Calamity Mod								
84	The Last of Us	The Last of Us	TLOU	Last of Us									
38	AI: The Somnium Files	The Somnium Files	somnium files	ai the somnium files	ai somnium files								
85	Timesplitters 2	Timesplitters	TS2	Time Splitters 2	LOU								
86	To The Moon	To The Moon											
94	Uncharted 3: Drake's Deception	Uncharted	uncharted 3										
39	UNDERTALE	UNDERTALE	undertale										
127	VA-11 HALL-A	VA-11 HALL-A	vallhalla	3d world									
87	VVVVVV	VVVVVV	V										
40	Wario Ware: Smooth Moves	Wario Ware	wario ware wii	wario ware smooth moves	wario ware: smooth moves	smooth moves							
41	Wii Sports	Wii Sports											
42	Wii Sports Resort	Wii Sports											
43	You Have to Burn the Rope	You Have to Burn the Rope	burn the rope										
96	The Legend of Zelda	Zelda	loz										
97	Zelda II: The Adventure of Link	Zelda	loz2	zelda									
98	The Legend of Zelda: A Link to the Past	Zelda	lttp	zelda	zelda 1								
99	The Legend of Zelda: Link's Awakening	Zelda	link's awakening	alttp	zelda 2								
100	The Legend of Zelda: Phantom Hourglass	Zelda	phantom hourglass	links awakening	zelda 3	link to the past	a link to the past	loz3					
101	The Legend of Zelda: Spirit Tracks	Zelda	spirit tracks	loz ph	zelda awakening	zelda links awakening	zelda link's awakening	The Legend of Zelda Spirit Tracks					
102	The Legend of Zelda: Ocarina of Time	Zelda	OoT	loz st	zelda phantom hourglass	loz phantom hourglass	The Legend of Zelda Phantom Hourglass						
103	The Legend of Zelda: Majora's Mask	Zelda	Majora	zelda ocarina	zelda spirit tracks	loz spirit tracks							
104	The Legend of Zelda: The Wind Waker	Zelda	wind waker	Majoras mask	zelda ocarina	zelda ocarina of time	ocarina of time	The Legend of Zelda ocarina of time					
105	The Legend of Zelda: Breath of the Wild	Zelda	botw	loz wind waker	Majora's mask	zelda mm	zelda majoras mask						
44	9 Hours, 9 Persons, 9 Doors	Zero Escape	999	9 hours 9 persons 9 doors									
45	Virtue's Last Reward	Zero Escape	Virtues Last Reward	vlr									
46	Zero Time Dilemma	Zero Escape	Zero Time Dilemma	ztd									
