Beautiful Ruin	Goodbye Despair	Danganronpa	https://youtu.be/P-fMDaPFXME	72
Beautiful Days [Piano Arrangement]	Goodbye Despair	Danganronpa	https://youtu.be/mESVTvnIVnw	73
Ms. Monomi's Practice Lesson	Goodbye Despair	Danganronpa	https://youtu.be/emEg0zGS7KY	74
Ikoroshia	Goodbye Despair	Danganronpa	https://youtu.be/gCfpmW6s37U	75
Tropical Despair	Goodbye Despair	Danganronpa	https://youtu.be/zlCho8m4Zyc	76
Third Island Theme	Goodbye Despair	Danganronpa	https://youtu.be/dtsSngpkwKc	77
Welcome DANGAN IsLand!! [OP Ver]	Goodbye Despair	Danganronpa	https://youtu.be/5kHtDxCMa64	78
P.T.A.	Goodbye Despair	Danganronpa	https://youtu.be/hSdokoS408s	79
A Dead End to the Ocean's Aroma	Goodbye Despair	Danganronpa	https://youtu.be/uoh-Z_TS_xE	80
Objection -CROSS SWORD-	Goodbye Despair	Danganronpa	https://youtu.be/mymjF4AZJrg	81
Suguikoroshia	Goodbye Despair	Danganronpa	https://youtu.be/-tq5xapLVp0	82
Class Trial - Future Part	Goodbye Despair	Danganronpa	https://youtu.be/5F26Vt1Q2-E	83
ANAGRAM.NET	Goodbye Despair	Danganronpa	https://youtu.be/RK6R94HMgpM	84
HYPER P.T.A.	Goodbye Despair	Danganronpa	https://youtu.be/PnbAZMQ-jq0	85
DIVE DRIVE	Goodbye Despair	Danganronpa	https://youtu.be/HP7r1TVINsg	86
HYPER ULTRA P.T.A.	Goodbye Despair	Danganronpa	https://youtu.be/AyFrgi3emaM	87
Fifth Island Theme	Goodbye Despair	Danganronpa	https://youtu.be/PNY4F9im83k	88
Alter Ego of the New World	Goodbye Despair	Danganronpa	https://youtu.be/mxc-QIS5gbs	89
Ekoroshia	Goodbye Despair	Danganronpa	https://youtu.be/xjbgj2V6-o0	90
Let Us Sing of a Hollow Victory	Goodbye Despair	Danganronpa	https://youtu.be/yLaiZTOGTkA	91
The Day Before the Future	Goodbye Despair	Danganronpa	https://youtu.be/4ScJ__5-cso	92
Searching the Twilight	Goodbye Despair	Danganronpa	https://youtu.be/jzLJwzHI14s	93
EXISAL TRIBE	Killing Harmony	Danganronpa	https://youtu.be/ruP_SAaxiNQ	94
Beautiful Lie	Killing Harmony	Danganronpa	https://youtu.be/-SnTpTE575M	95
Anagram. NEW	Killing Harmony	Danganronpa	https://youtu.be/fv-fSZZ_iT0	96
Living in a Lazy Parallel World	Killing Harmony	Danganronpa	https://youtu.be/H3klCeCLwww	97
Rise of the Ultimates	Killing Harmony	Danganronpa	https://youtu.be/cQbDAuVbDZY	98
Rise and Shine, Ursine!	Killing Harmony	Danganronpa	https://youtu.be/KOI5D928mvk	99
Becoming Friends	Killing Harmony	Danganronpa	https://youtu.be/2bxYMupB5q0	100
Nightmare in the Locker	Killing Harmony	Danganronpa	https://youtu.be/xD2XHF-XGY4	101
NEW A.A. (Ch. 1)	Killing Harmony	Danganronpa	https://youtu.be/5KfnfvyPRtk	102
Despair Searching	Killing Harmony	Danganronpa	https://youtu.be/FZLYRkiHk5I	103
Cool Morning	Killing Harmony	Danganronpa	https://youtu.be/F7dhu57yeYU	104
Death Road of Despair	Killing Harmony	Danganronpa	https://youtu.be/Ih0Tt10uFKI	105
PSYCHE TAXI	Killing Harmony	Danganronpa	https://youtu.be/BNWw4Z9pB04	106
Darkness Time	Killing Harmony	Danganronpa	https://youtu.be/gbZhzgIh-Ik	107
Heaven of Almost Hell	Killing Harmony	Danganronpa	https://youtu.be/_F3p9pksJDs	108
Clair de Lune	Killing Harmony	Danganronpa	https://youtu.be/nhnt4mLG92Y	109
Spirit, Praise, and Beauty	Killing Harmony	Danganronpa	https://youtu.be/zwsGdXWv444	110
DANGANVEGAS	Killing Harmony	Danganronpa	https://youtu.be/t-9yzPWIoLM	111
Mind Mine	Killing Harmony	Danganronpa	https://youtu.be/2HNmTL-iju0	112
Talent Selection	Killing Harmony	Danganronpa	https://youtu.be/cENv5uK8qLI	113
Hope of Summer	Killing Harmony	Danganronpa	https://youtu.be/9jRL5WYhSeM	114
Hope of Spring	Killing Harmony	Danganronpa	https://youtu.be/qzdP2cXtpT4	115
Moon on the Water	Killing Harmony	Danganronpa	https://youtu.be/c3XeMcD154c	116
Wonderful Story	Killing Harmony	Danganronpa	https://youtu.be/Z3hAsD8M4iM	117
Let's Start the Killing Game	Killing Harmony	Danganronpa	https://youtu.be/apcEHrIMQN0	118
HYPER NEW A.A. (Ch. 1)	Killing Harmony	Danganronpa	https://youtu.be/zaPGdlLgaEU	119
Closing Argument V3	Killing Harmony	Danganronpa	https://youtu.be/bfM8rAq3RcA	120
Climactic Re-Enactment V3	Killing Harmony	Danganronpa	https://youtu.be/en8PD91y0x8	121
Danganronpa V3 (Full Version)	Killing Harmony	Danganronpa	https://youtu.be/Ewm8o6eEuDI	122
V3 Gallery Music	Killing Harmony	Danganronpa	https://youtu.be/vTl_1FeyMSQ	123
Debate Scrum	Killing Harmony	Danganronpa	https://youtu.be/KKMJYQar8cM	124
Hangman's Gambit Ver 3.0	Killing Harmony	Danganronpa	https://youtu.be/ThfGLLTMSpo	125
V3 Argument -Blade Lock-	Killing Harmony	Danganronpa	https://youtu.be/rJ4fXEs3M7Q	126
Final a.A.	Killing Harmony	Danganronpa	https://youtu.be/Sgp39oFV6Js	127
New World Order V3	Killing Harmony	Danganronpa	https://youtu.be/LlMAROvZ5gA	128
Hope of Autumn	Killing Harmony	Danganronpa	https://youtu.be/HN3VTKpFbzE	129
Hope of Winter	Killing Harmony	Danganronpa	https://youtu.be/H_Jh0kfrLY4	130
Hope Searching	Killing Harmony	Danganronpa	https://youtu.be/5UYIS6enQCQ	131
Hyper Final a.A.	Killing Harmony	Danganronpa	https://youtu.be/Baag6XirtJc	132
Heartless Journey	Killing Harmony	Danganronpa	https://youtu.be/IIcIWQFYyx0	133
Hyper Ultra New a.A. (Ch. 1)	Killing Harmony	Danganronpa	https://youtu.be/MBNZ20SzC6M	134
Sing the Empty Truth	Killing Harmony	Danganronpa	https://youtu.be/bdvaPZl5kgQ	135
Hyper Final Ultra a.A.	Killing Harmony	Danganronpa	https://youtu.be/on_ET4SUbx4	136
Killing Game Completion Ceremony	Killing Harmony	Danganronpa	https://youtu.be/Rsic8ioDhSc	137
Flashback Light	Killing Harmony	Danganronpa	https://youtu.be/jHRj--nz_IE	138
Vote Slot	Killing Harmony	Danganronpa	https://youtu.be/IK8v3hkG5wM	139
Beautiful Lie in the Virtual World	Killing Harmony	Danganronpa	https://youtu.be/5nsyLqVjRtY	140
Despair Searching: Virtual World	Killing Harmony	Danganronpa	https://youtu.be/BM4eO7dEpps	141
